id,geoid,geo_name,county,state,total_pop,perc_white,perc_black,perc_nativ_indian_ak,perc_asian,perc_haw,perc_other,perc_two_more
1400000US48113016615,48113016615,Census Tract 166.15,Dallas County,Texas,4467,0.351242444593687,0.491605104096709,0,0.064920528318782,0,0.036042086411462,0.05618983657936
1400000US48029190902,48029190902,Census Tract 1909.02,Bexar County,Texas,4467,0.858294157152451,0.058652339377658,0.03089321692411,0.005148869487352,0.003805686142825,0.027759122453548,0.015446608462055
1400000US48439113710,48439113710,Census Tract 1137.10,Tarrant County,Texas,4468,0.803939122649955,0.073410922112802,0,0.042300805729633,0,0.042748433303492,0.037600716204118
1400000US48201423301,48201423301,Census Tract 4233.01,Harris County,Texas,4472,0.449016100178891,0.331618962432916,0.00201252236136,0.067084078711986,0,0.123434704830054,0.026833631484794
1400000US48399950600,48399950600,Census Tract 9506,Runnels County,Texas,4472,0.885733452593918,0.049865831842576,0.00067084078712,0,0,0.040026833631485,0.023703041144902
1400000US48201421800,48201421800,Census Tract 4218,Harris County,Texas,4474,0.483012963790791,0.279615556548949,0,0.119579794367456,0,0.074653553866786,0.043138131426017
1400000US48085030801,48085030801,Census Tract 308.01,Collin County,Texas,4476,0.755808757819482,0.174932975871314,0.004244861483467,0.011170688114388,0.005361930294906,0.020554066130474,0.02792672028597
1400000US48491020408,48491020408,Census Tract 204.08,Williamson County,Texas,4476,0.839812332439678,0.024798927613941,0,0.100536193029491,0,0.017873100983021,0.01697944593387
1400000US48451001303,48451001303,Census Tract 13.03,Tom Green County,Texas,4476,0.84562109025916,0.037756925826631,0.001563896336014,0.030384271671135,0,0.065236818588025,0.019436997319035
1400000US48113016802,48113016802,Census Tract 168.02,Dallas County,Texas,4477,0.442930533839625,0.526468617377708,0,0,0,0.009157918248827,0.02144293053384
1400000US48199030900,48199030900,Census Tract 309,Hardin County,Texas,4478,0.914024117909781,0.016301920500223,0.004466279589102,0.006699419383653,0,0.021438142027691,0.037070120589549
1400000US48329000600,48329000600,Census Tract 6,Midland County,Texas,4479,0.902880107166778,0.031926769368163,0.003795490064747,0.002902433578924,0,0.037061844161643,0.021433355659746
1400000US48273020200,48273020200,Census Tract 202,Kleberg County,Texas,4480,0.888392857142857,0.024107142857143,0,0.001785714285714,0,0.064285714285714,0.021428571428572
1400000US48485012800,48485012800,Census Tract 128,Wichita County,Texas,4480,0.920089285714286,0.010714285714286,0,0.003794642857143,0,0.031696428571429,0.033705357142857
1400000US48439104701,48439104701,Census Tract 1047.01,Tarrant County,Texas,4481,0.775942869895113,0.005132782860969,0,0.021200624860522,0,0.186565498772595,0.011158223610801
1400000US48479001811,48479001811,Census Tract 18.11,Webb County,Texas,4483,0.952041043943788,0,0,0.000892259647557,0,0.028775373633728,0.018291322774928
1400000US48085032008,48085032008,Census Tract 320.08,Collin County,Texas,4484,0.725022301516503,0.094558429973238,0.001561106155219,0.105932203389831,0.002007136485281,0.03835860838537,0.032560214094559
1400000US48061011302,48061011302,Census Tract 113.02,Cameron County,Texas,4487,0.8798751950078,0.06797414753733,0.005571651437486,0.019612213059951,0,0.014709159794963,0.012257633162469
1400000US48113019024,48113019024,Census Tract 190.24,Dallas County,Texas,4488,0.558823529411765,0.174910873440285,0,0.20632798573975,0,0.00958110516934,0.050356506238859
1400000US48187210608,48187210608,Census Tract 2106.08,Guadalupe County,Texas,4488,0.892379679144385,0.014483065953654,0,0,0,0.038324420677362,0.054812834224599
1400000US48113012900,48113012900,Census Tract 129,Dallas County,Texas,4489,0.896858988638895,0.023390510135888,0,0.006460236132769,0,0.021385609267097,0.051904655825351
1400000US48141010346,48141010346,Census Tract 103.46,El Paso County,Texas,4490,0.780846325167038,0.003118040089087,0.004008908685969,0,0,0.201113585746102,0.010913140311804
1400000US48121021722,48121021722,Census Tract 217.22,Denton County,Texas,4490,0.832516703786192,0.062360801781737,0.001781737193764,0.015812917594655,0,0.055011135857461,0.032516703786192
1400000US48453001713,48453001713,Census Tract 17.13,Travis County,Texas,4490,0.871492204899777,0.030289532293987,0.00467706013363,0.027839643652561,0,0.027839643652561,0.037861915367483
1400000US48141010333,48141010333,Census Tract 103.33,El Paso County,Texas,4490,0.892427616926503,0.001559020044543,0,0.006013363028953,0,0.083964365256125,0.016035634743875
1400000US48449950600,48449950600,Census Tract 9506,Titus County,Texas,4491,0.560676909374304,0.17145401914941,0.034736138944556,0.004453351146738,0,0.217991538632821,0.010688042752171
1400000US48085031649,48085031649,Census Tract 316.49,Collin County,Texas,4491,0.773101759073703,0.085727009574705,0,0.117568470273881,0,0,0.023602761077711
1400000US48281950500,48281950500,Census Tract 9505,Lampasas County,Texas,4492,0.856188780053428,0.083704363312556,0,0.034060552092609,0.002003561887801,0.006010685663402,0.018032056990205
1400000US48041001601,48041001601,Census Tract 16.01,Brazos County,Texas,4493,0.674604941019363,0.103494324504785,0.002225684397952,0.184954373469842,0,0.010015579790786,0.024705096817271
1400000US48201432200,48201432200,Census Tract 4322,Harris County,Texas,4494,0.675789942145082,0.171339563862928,0,0.028704939919893,0.016021361815754,0.069425901201602,0.03871829105474
1400000US48141001201,48141001201,Census Tract 12.01,El Paso County,Texas,4495,0.703003337041157,0.011123470522803,0.002447163515017,0.021357063403782,0,0.225361512791991,0.03670745272525
1400000US48201231300,48201231300,Census Tract 2313,Harris County,Texas,4496,0.29470640569395,0.651690391459075,0.029359430604982,0,0,0.018905693950178,0.005338078291815
1400000US48439102401,48439102401,Census Tract 1024.01,Tarrant County,Texas,4496,0.710186832740214,0.195729537366548,0,0.017126334519573,0,0.062944839857651,0.014012455516014
1400000US48043950300,48043950300,Census Tract 9503,Brewster County,Texas,4496,0.911032028469751,0.001112099644128,0.006895017793594,0.022019572953737,0,0.022019572953737,0.036921708185053
1400000US48217960200,48217960200,Census Tract 9602,Hill County,Texas,4498,0.95709204090707,0.002667852378835,0.008448199199644,0.000444642063139,0.012449977767897,0.001556247220987,0.017341040462428
1400000US48355000700,48355000700,Census Tract 7,Nueces County,Texas,4499,0.925316737052678,0.042898421871527,0.00333407423872,0.00288953100689,0,0.018226272505001,0.007334963325183
1400000US48113009603,48113009603,Census Tract 96.03,Dallas County,Texas,4500,0.811111111111111,0.038,0.001333333333333,0.059111111111111,0,0.034666666666667,0.055777777777778
1400000US48001950902,48001950902,Census Tract 9509.02,Anderson County,Texas,4501,0.843145967562764,0.132859364585648,0.002221728504777,0,0,0.003332592757165,0.018440346589647
1400000US48201431302,48201431302,Census Tract 4313.02,Harris County,Texas,4503,0.846102598267821,0.036198090162114,0,0.04552520541861,0,0.038196757717078,0.033977348434377
1400000US48201554600,48201554600,Census Tract 5546,Harris County,Texas,4504,0.922291296625222,0.029973357015986,0,0.021092362344583,0,0.012211367673179,0.01443161634103
1400000US48029161303,48029161303,Census Tract 1613.03,Bexar County,Texas,4505,0.778468368479467,0.047502774694784,0.0330743618202,0,0,0.104328523862375,0.036625971143174
1400000US48121021202,48121021202,Census Tract 212.02,Denton County,Texas,4506,0.622281402574345,0.259431868619618,0.006657789613848,0.015090989791389,0.003106968486463,0.059032401242787,0.034398579671549
1400000US48113016610,48113016610,Census Tract 166.10,Dallas County,Texas,4507,0.155092078988241,0.79343243842911,0.007987574883515,0.005103172842245,0.003550033281562,0.022631462169958,0.01220323940537
1400000US48113005500,48113005500,Census Tract 55,Dallas County,Texas,4507,0.516751719547371,0.437541601952518,0,0,0,0.045706678500111,0
1400000US48493000500,48493000500,Census Tract 5,Wilson County,Texas,4507,0.915021078322609,0.009762591524296,0.002218770800976,0,0,0.013312624805858,0.059684934546261
1400000US48355003305,48355003305,Census Tract 33.05,Nueces County,Texas,4509,0.89177201153249,0.059214903526281,0.005766245287203,0.006653359946773,0.004435573297849,0.00998003992016,0.022177866489244
1400000US48029141900,48029141900,Census Tract 1419,Bexar County,Texas,4510,0.860310421286031,0.041241685144124,0,0,0.009534368070953,0.058758314855876,0.030155210643016
1400000US48491020706,48491020706,Census Tract 207.06,Williamson County,Texas,4511,0.779871425404567,0.054533362890712,0,0.110175127466194,0,0.040124140988694,0.015295943249834
1400000US48077030301,48077030301,Census Tract 303.01,Clay County,Texas,4511,0.933939259587675,0.001108401684771,0.012192418532476,0.025936599423631,0,0.01241409886943,0.014409221902017
