Crash ID,Agency,Case ID,County,Crash Date,Crash Death Count,Latitude,Longitude,Person Death Count,Person Type
12543664,SAN ANTONIO POLICE DEPARTMENT,SAPD12031383,BEXAR,2012-02-10,1,29.40281521,-98.46326392,1,4 - PEDESTRIAN
12546196,SAN ANTONIO POLICE DEPARTMENT,SAPD12037499,BEXAR,2012-02-18,1,29.50154612,-98.54889928,1,4 - PEDESTRIAN
12564781,SAN ANTONIO POLICE DEPARTMENT,SAPD12045935,BEXAR,2012-02-29,1,29.50196483,-98.41890002,1,4 - PEDESTRIAN
12594285,SAN ANTONIO POLICE DEPARTMENT,SAPD12058291,BEXAR,2012-03-17,1,No Data,No Data,1,4 - PEDESTRIAN
12599503,SAN ANTONIO POLICE DEPARTMENT,SAPD12059977,BEXAR,2012-03-19,1,29.47091752,-98.62366426,1,4 - PEDESTRIAN
12605534,SAN ANTONIO POLICE DEPARTMENT,SAPD12064490,BEXAR,2012-03-25,1,29.40378255,-98.54678855,1,4 - PEDESTRIAN
12635605,SAN ANTONIO POLICE DEPARTMENT,SAPD12077629,BEXAR,2012-04-10,2,29.57647058,-98.40819955,1,4 - PEDESTRIAN
12635605,SAN ANTONIO POLICE DEPARTMENT,SAPD12077629,BEXAR,2012-04-10,2,29.57647058,-98.40819955,1,4 - PEDESTRIAN
12677231,SAN ANTONIO POLICE DEPARTMENT,SAPD12097555,BEXAR,2012-05-04,1,29.44863748,-98.56107463,1,4 - PEDESTRIAN
12729562,SAN ANTONIO POLICE DEPARTMENT,SAPD12113596,BEXAR,2012-05-25,1,29.32936773,-98.41586431,1,4 - PEDESTRIAN
12710409,SAN ANTONIO POLICE DEPARTMENT,SAPD12115787,BEXAR,2012-05-27,1,29.55623674,-98.51575173,1,4 - PEDESTRIAN
12712570,SAN ANTONIO POLICE DEPARTMENT,SAPD12115294,BEXAR,2012-05-27,1,29.44611552,-98.53471324,1,4 - PEDESTRIAN
12710544,SAN ANTONIO POLICE DEPARTMENT,SAPD12116636,BEXAR,2012-05-28,1,29.46950578,-98.53110279,1,4 - PEDESTRIAN
12765924,SAN ANTONIO POLICE DEPARTMENT,SAPD12144356,BEXAR,2012-07-01,1,29.40926939,-98.5567723,1,4 - PEDESTRIAN
12783512,SAN ANTONIO POLICE DEPARTMENT,SAPD12153517,BEXAR,2012-07-11,1,29.44643796,-98.49186673,1,4 - PEDESTRIAN
12808801,SAN ANTONIO POLICE DEPARTMENT,SAPD12166389,BEXAR,2012-07-27,1,29.31421476,-98.61136162,1,4 - PEDESTRIAN
12815235,SAN ANTONIO POLICE DEPARTMENT,SAPD12166364,BEXAR,2012-07-27,1,29.33873163,-98.60034299,1,4 - PEDESTRIAN
12816188,BEXAR COUNTY LAW ENFORCEMENT,2012-BCSO-028376,BEXAR,2012-07-27,1,29.50051428,-98.18778849,1,4 - PEDESTRIAN
12831369,SAN ANTONIO POLICE DEPARTMENT,SAPD12179389,BEXAR,2012-08-11,1,29.32191662,-98.47761258,1,4 - PEDESTRIAN
12888917,SAN ANTONIO POLICE DEPARTMENT,SAPD12191391,BEXAR,2012-08-24,1,29.56311686,-98.39135697,1,4 - PEDESTRIAN
12862743,SAN ANTONIO POLICE DEPARTMENT,SAPD12193782,BEXAR,2012-08-27,1,29.48408496,-98.39730475,1,4 - PEDESTRIAN
12922836,SAN ANTONIO POLICE DEPARTMENT,SAPD 12229076,BEXAR,2012-10-09,1,29.45820497,-98.51984231,1,4 - PEDESTRIAN
12924595,SAN ANTONIO POLICE DEPARTMENT,SAPD12229692,BEXAR,2012-10-09,1,29.30595093,-98.62084062,1,4 - PEDESTRIAN
12959831,SAN ANTONIO POLICE DEPARTMENT,SAPD12229661,BEXAR,2012-10-09,1,29.51030906,-98.37246757,1,4 - PEDESTRIAN
12926381,SAN ANTONIO POLICE DEPARTMENT,SAPD12230766,BEXAR,2012-10-11,1,29.40161517,-98.63228729,1,4 - PEDESTRIAN
12950375,SAN ANTONIO POLICE DEPARTMENT,SAPD12240362,BEXAR,2012-10-22,1,29.49748736,-98.55619388,1,4 - PEDESTRIAN
12947568,BEXAR COUNTY LAW ENFORCEMENT,2012-BCSO-40983,BEXAR,2012-10-24,1,No Data,No Data,1,4 - PEDESTRIAN
12971707,SAN ANTONIO POLICE DEPARTMENT,SAPD12253597,BEXAR,2012-11-07,1,29.35671658,-98.49162406,1,4 - PEDESTRIAN
12981601,SAN ANTONIO POLICE DEPARTMENT,SAPD12257472,BEXAR,2012-11-12,1,29.508941,-98.56549211,1,4 - PEDESTRIAN
12987351,SAN ANTONIO POLICE DEPARTMENT,SAPD12261276,BEXAR,2012-11-17,1,29.48426682,-98.36862505,1,4 - PEDESTRIAN
12995710,SAN ANTONIO POLICE DEPARTMENT,SAPD12264822,BEXAR,2012-11-22,1,29.4212754,-98.58549327,1,4 - PEDESTRIAN
12996116,SAN ANTONIO POLICE DEPARTMENT,SAPD12264484,BEXAR,2012-11-22,1,29.59507022,-98.57356694,1,4 - PEDESTRIAN
13006469,BEXAR COUNTY LAW ENFORCEMENT,2012-BCSO-046031,BEXAR,2012-11-29,2,29.44963639,-98.36074472,1,4 - PEDESTRIAN
13006469,BEXAR COUNTY LAW ENFORCEMENT,2012-BCSO-046031,BEXAR,2012-11-29,2,29.44963639,-98.36074472,1,4 - PEDESTRIAN
13011650,SAN ANTONIO POLICE DEPARTMENT,SAPD12273519,BEXAR,2012-12-03,1,29.45512016,-98.63404231,1,4 - PEDESTRIAN
13394693,BEXAR COUNTY LAW ENFORCEMENT,2012-BCSO-47363,BEXAR,2012-12-09,1,29.31325996,-98.7325092,1,4 - PEDESTRIAN
